
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.17221403e+00, -1.02500000e+01, -6.10272646e-01
5.87500000e+00, 5.15807247e+00, -1.02500000e+01, -6.22933209e-01
5.87500000e+00, 5.14393091e+00, -1.02500000e+01, -6.35065079e-01
5.87500000e+00, 5.12978935e+00, -1.02500000e+01, -6.41430020e-01
5.87500000e+00, 5.11564779e+00, -1.02500000e+01, -6.47794962e-01
5.87500000e+00, 5.10150623e+00, -1.02500000e+01, -6.54159546e-01
5.87500000e+00, 5.08736467e+00, -1.02500000e+01, -6.60524368e-01
5.87500000e+00, 5.07322311e+00, -1.02500000e+01, -6.66889191e-01
5.87500000e+00, 5.05908155e+00, -1.02500000e+01, -6.72158957e-01
5.87500000e+00, 5.04493999e+00, -1.02500000e+01, -6.75172925e-01
5.87500000e+00, 5.03079844e+00, -1.02500000e+01, -6.78186953e-01
5.87500000e+00, 5.01665688e+00, -1.02500000e+01, -6.81164622e-01
5.87500000e+00, 5.00251532e+00, -1.02500000e+01, -6.81439996e-01
5.87500000e+00, 4.98837376e+00, -1.02500000e+01, -6.79809034e-01
5.87500000e+00, 4.97423220e+00, -1.02500000e+01, -6.78178012e-01
5.87500000e+00, 4.96009064e+00, -1.02500000e+01, -6.76546872e-01
5.87500000e+00, 4.94594908e+00, -1.02500000e+01, -6.74915731e-01
5.87500000e+00, 4.93180752e+00, -1.02500000e+01, -6.73284709e-01
5.87500000e+00, 4.91766596e+00, -1.02500000e+01, -6.71653509e-01
5.87500000e+00, 4.90352440e+00, -1.02500000e+01, -6.70295060e-01
5.87500000e+00, 4.88938284e+00, -1.02500000e+01, -6.66823030e-01
5.87500000e+00, 4.87524128e+00, -1.02500000e+01, -6.63450658e-01
5.87500000e+00, 4.86109972e+00, -1.02500000e+01, -6.60078168e-01
5.87500000e+00, 4.84695816e+00, -1.02500000e+01, -6.56705618e-01
5.87500000e+00, 4.83281660e+00, -1.02500000e+01, -6.52386010e-01
5.87500000e+00, 4.81867504e+00, -1.02500000e+01, -6.45747900e-01
5.87500000e+00, 4.80453348e+00, -1.02500000e+01, -6.39109790e-01
5.87500000e+00, 4.79039192e+00, -1.02500000e+01, -6.32471621e-01
5.87500000e+00, 4.77625036e+00, -1.02500000e+01, -6.25833452e-01
5.87500000e+00, 4.76210880e+00, -1.02500000e+01, -6.18382335e-01
5.87500000e+00, 4.74796724e+00, -1.02500000e+01, -6.09282017e-01
5.87500000e+00, 4.73382568e+00, -1.02500000e+01, -6.03918493e-01
5.87500000e+00, 4.71968412e+00, -1.02500000e+01, -5.98554969e-01
5.87500000e+00, 4.70554256e+00, -1.02500000e+01, -5.96110642e-01
5.87500000e+00, 4.69140100e+00, -1.02500000e+01, -5.94309330e-01
5.87500000e+00, 4.67725945e+00, -1.02500000e+01, -5.92266202e-01
5.87500000e+00, 4.66311789e+00, -1.02500000e+01, -5.88993311e-01
5.87500000e+00, 4.64897633e+00, -1.02500000e+01, -5.85720420e-01
5.87500000e+00, 4.63483477e+00, -1.02500000e+01, -5.82447529e-01
5.87500000e+00, 4.62069321e+00, -1.02500000e+01, -5.75796127e-01
5.87500000e+00, 4.60655165e+00, -1.02500000e+01, -5.64688802e-01
5.87500000e+00, 4.59241009e+00, -1.02500000e+01, -5.55491328e-01
5.87500000e+00, 4.57826853e+00, -1.02500000e+01, -5.42241156e-01
5.87500000e+00, 4.56412697e+00, -1.02500000e+01, -5.16992688e-01
5.87500000e+00, 4.54998541e+00, -1.02500000e+01, 0.00000000e+00

X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.94999981e+00, -1.02500000e+01, 0.00000000e+00
5.87500000e+00, 5.93585825e+00, -1.02500000e+01, 6.89976215e-01
5.87500000e+00, 5.92171669e+00, -1.02500000e+01, 1.37996519e+00
5.87500000e+00, 5.90757513e+00, -1.02500000e+01, 2.07444167e+00
5.87500000e+00, 5.89343357e+00, -1.02500000e+01, 2.81621027e+00
5.87500000e+00, 5.87929201e+00, -1.02500000e+01, 2.75174046e+00
5.87500000e+00, 5.86515045e+00, -1.02500000e+01, 2.68488431e+00
5.87500000e+00, 5.85100889e+00, -1.02500000e+01, 2.61756516e+00
5.87500000e+00, 5.83686733e+00, -1.02500000e+01, 2.55015540e+00
5.87500000e+00, 5.82272577e+00, -1.02500000e+01, 2.46971321e+00
5.87500000e+00, 5.80858421e+00, -1.02500000e+01, 2.38374829e+00
5.87500000e+00, 5.79444265e+00, -1.02500000e+01, 2.29778194e+00
5.87500000e+00, 5.78030109e+00, -1.02500000e+01, 2.21155930e+00
5.87500000e+00, 5.76615953e+00, -1.02500000e+01, 2.12516713e+00
5.87500000e+00, 5.75201797e+00, -1.02500000e+01, 2.04141617e+00
5.87500000e+00, 5.73787642e+00, -1.02500000e+01, 1.95494080e+00
5.87500000e+00, 5.72373486e+00, -1.02500000e+01, 1.86670518e+00
5.87500000e+00, 5.70959330e+00, -1.02500000e+01, 1.77729189e+00
5.87500000e+00, 5.69545174e+00, -1.02500000e+01, 1.68788540e+00
5.87500000e+00, 5.68131018e+00, -1.02500000e+01, 1.59847867e+00
5.87500000e+00, 5.66716862e+00, -1.02500000e+01, 1.50907183e+00
5.87500000e+00, 5.65302706e+00, -1.02500000e+01, 1.41966558e+00
5.87500000e+00, 5.63888550e+00, -1.02500000e+01, 1.33023882e+00
5.87500000e+00, 5.62474394e+00, -1.02500000e+01, 1.23627353e+00
5.87500000e+00, 5.61060238e+00, -1.02500000e+01, 1.14116478e+00
5.87500000e+00, 5.59646082e+00, -1.02500000e+01, 1.05649734e+00
5.87500000e+00, 5.58231926e+00, -1.02500000e+01, 9.71828938e-01
5.87500000e+00, 5.56817770e+00, -1.02500000e+01, 8.87160182e-01
5.87500000e+00, 5.55403614e+00, -1.02500000e+01, 8.00983608e-01
5.87500000e+00, 5.53989458e+00, -1.02500000e+01, 7.07893848e-01
5.87500000e+00, 5.52575302e+00, -1.02500000e+01, 6.17139399e-01
5.87500000e+00, 5.51161146e+00, -1.02500000e+01, 5.33092856e-01
5.87500000e+00, 5.49746990e+00, -1.02500000e+01, 4.49048281e-01
5.87500000e+00, 5.48332834e+00, -1.02500000e+01, 3.71118993e-01
5.87500000e+00, 5.46918678e+00, -1.02500000e+01, 2.97416627e-01
5.87500000e+00, 5.45504522e+00, -1.02500000e+01, 2.29157537e-01
5.87500000e+00, 5.44090366e+00, -1.02500000e+01, 1.61039352e-01
5.87500000e+00, 5.42676210e+00, -1.02500000e+01, 9.29221362e-02
5.87500000e+00, 5.41262054e+00, -1.02500000e+01, 2.48051770e-02
5.87500000e+00, 5.39847898e+00, -1.02500000e+01, -4.32324409e-02
5.87500000e+00, 5.38433743e+00, -1.02500000e+01, -1.10577695e-01
5.87500000e+00, 5.37019587e+00, -1.02500000e+01, -1.67581379e-01
5.87500000e+00, 5.35605431e+00, -1.02500000e+01, -2.24584505e-01
5.87500000e+00, 5.34191275e+00, -1.02500000e+01, -2.80779064e-01
5.87500000e+00, 5.32777119e+00, -1.02500000e+01, -3.36249202e-01
5.87500000e+00, 5.31362963e+00, -1.02500000e+01, -3.91719311e-01
5.87500000e+00, 5.29948807e+00, -1.02500000e+01, -4.47189003e-01
5.87500000e+00, 5.28534651e+00, -1.02500000e+01, -4.91414905e-01
5.87500000e+00, 5.27120495e+00, -1.02500000e+01, -5.26517689e-01
5.87500000e+00, 5.25706339e+00, -1.02500000e+01, -5.56268096e-01
5.87500000e+00, 5.24292183e+00, -1.02500000e+01, -5.80734909e-01
